cotacaoCompra,cotacaoVenda,dataHoraCotacao
"3,1458","3,1464",2017-08-09 13:03:05.856
"3,1537","3,1543",2017-08-10 13:09:02.609
"3,1689","3,1695",2017-08-11 13:11:15.965
"3,1882","3,1888",2017-08-14 13:11:13.161
"3,197","3,1976",2017-08-15 13:04:55.968
"3,1664","3,167",2017-08-16 13:11:54.575
"3,1597","3,1603",2017-08-17 13:10:53.766
"3,1648","3,1654",2017-08-18 13:03:04.268
"3,1437","3,1443",2017-08-21 13:11:54.232
"3,1533","3,1539",2017-08-22 13:07:59.02
"3,1563","3,1569",2017-08-23 13:05:00.387
"3,1398","3,1404",2017-08-24 13:05:56.945
"3,1456","3,1462",2017-08-25 13:03:19.052
"3,1557","3,1563",2017-08-28 13:05:53.434
"3,1689","3,1695",2017-08-29 13:06:00.742
"3,1632","3,1638",2017-08-30 13:05:59.376
"3,1465","3,1471",2017-08-31 13:11:19.431
"3,1327","3,1333",2017-09-01 13:09:49.668
"3,1383","3,1389",2017-09-04 13:07:00.053
"3,1197","3,1203",2017-09-05 13:08:03.538
"3,1127","3,1133",2017-09-06 13:04:56.84
"3,0902","3,0908",2017-09-08 13:09:47.865
"3,0846","3,0852",2017-09-11 13:11:51.904
"3,1138","3,1144",2017-09-12 13:10:52.973
"3,1337","3,1343",2017-09-13 13:11:12.8
"3,1348","3,1354",2017-09-14 13:07:09.055
"3,1249","3,1255",2017-09-15 13:09:01.968
"3,1233","3,1239",2017-09-18 13:13:53.088
"3,1317","3,1323",2017-09-19 13:02:44.498
"3,1275","3,1281",2017-09-20 13:07:58.419
"3,1341","3,1347",2017-09-21 13:04:20.434
"3,1279","3,1285",2017-09-22 13:04:39.003
"3,1406","3,1412",2017-09-25 13:08:41.647
"3,1668","3,1674",2017-09-26 13:11:49.126
"3,1926","3,1932",2017-09-27 13:03:56.33
"3,1865","3,1871",2017-09-28 13:07:41.741
"3,1674","3,168",2017-09-29 13:10:53.153
"3,1636","3,1642",2017-10-02 13:11:53.361
"3,1496","3,1502",2017-10-03 13:06:01.897
"3,1309","3,1315",2017-10-04 13:07:04.54
"3,1341","3,1347",2017-10-05 13:09:02.854
"3,1642","3,1648",2017-10-06 13:12:13.52
"3,1764","3,177",2017-10-09 13:03:37.033
"3,1682","3,1688",2017-10-10 13:05:50.117
"3,1633","3,1639",2017-10-11 13:06:55.368
"3,1567","3,1572",2017-10-13 13:09:01.026
"3,1601","3,1607",2017-10-16 13:06:50.682
"3,1763","3,1769",2017-10-17 13:08:24.663
"3,1667","3,1673",2017-10-18 13:05:11.771
"3,1727","3,1732",2017-10-19 13:03:16.171
"3,1827","3,1833",2017-10-20 13:06:16.866
"3,1997","3,2003",2017-10-23 13:08:10.632
"3,2464","3,247",2017-10-24 13:07:51.559
"3,2381","3,2387",2017-10-25 13:09:31.655
"3,2438","3,2444",2017-10-26 13:07:04.203
"3,2795","3,2801",2017-10-27 13:06:46.999
"3,2541","3,2547",2017-10-30 13:03:56.356
"3,2763","3,2769",2017-10-31 13:08:47.548
